id;cadastrado_em;modificado_em;excluido;nome;instituicao_id;ativo;bairro;cep;cidade;codigo_host;codigo_host_igreja;complemento;data_abertura;ddd;email;endereco;host_dirigente;numero;pais;site;telefone;uf;data_extincao
133;2017-01-04 19:36:26.845491+00;2019-02-13 23:16:12.857092+00;false;Padre Josimo;1900;false;Padre Josimo;27280000;Volta Redonda;90;9;;11/01/2017;;;Rua Francisco de Assis;Francisco José Pimenta;899;BR;;;RJ;15/12/2018
165;2017-01-04 19:36:27.475405+00;2017-01-26 15:32:54.894609+00;false;MARCOS FREIRE;2451;false;Marcos Freire;;Porto Velho;971;291;;01/07/2013;;;;PB ANDERSON E SEMINARISTA LUIZ FERNANDO;;BR;;;\0;\0
170;2017-01-04 19:36:27.63758+00;2020-06-04 21:34:17.456562+00;false;Congregação Calafate;2263;false;;;;744;808;;\0;;;;;;BR;;;AC;\0
136;2017-01-04 19:36:26.901201+00;2019-08-29 18:06:46.185813+00;false;ESTRADA UNIÃO;2346;true;ESTRADA UNIÃO;27277240;Volta Redonda;94;58;;10/05/1998;24;;Estrada União;Asp. Romeu Barbosa;1082;BR;;;RJ;\0
129;2017-01-04 19:36:26.770204+00;2019-09-12 14:28:19.928058+00;false;Jardim Redentor;1932;false;Jardim Redentor;27335000;Barra Mansa;86;127;Lote 5;17/05/1997;24;WESLEYANASAOLUCAS1968@GMAIL.COM;Rua 2;PR. MARCIO PEREIRA PORTELA;S/N;BR;;33 434296;RJ;\0
167;2017-01-04 19:36:27.518894+00;2020-02-09 14:54:47.873867+00;false;João Wesley;1979;true;Inhoaíba;;Rio de Janeiro;144;182;;\0;;;Av. Cesário de Melo;Aspirante Pb. ALCINEI JARDIM DE SOUZA;6460;BR;;;RJ;\0
123;2017-01-04 19:36:26.655765+00;2021-01-10 00:58:37.871236+00;false;São Cristovão;1902;false;;;;80;11;;\0;;;;Pb. Fernando Machado Moreira;;BR;;;\0;\0
176;2017-01-04 19:36:27.764901+00;2017-01-05 14:06:35.319358+00;false;PARQUE DAS MISSÕES;2625;true;PARQUE DAS MISSÕES;;RIO DE JANEIRO;1073;1101;;13/04/2014;;;AVENIDA 01 BOXE 07;PB. FRANCISCO MANOEL;;BR;;;RJ;\0
182;2017-01-04 19:36:27.885575+00;2017-02-05 13:00:03.957078+00;false;Porangaba;2141;true;;;;1096;509;;20/06/2009;;;;Pr. Flavio Aparecido Alves Coelho;;BR;;;\0;\0
171;2017-01-04 19:36:27.664588+00;2017-01-10 13:57:26.238004+00;false;Vila Nova de Mantena;2031;false;;;;742;300;;\0;;;;;;BR;;;\0;\0
121;2017-01-04 19:36:26.617553+00;2021-09-08 23:48:23.7518+00;false;Água Santa;1902;true;Encantado;20745075;Rio de Janeiro;78;11;;10/09/2005;;;Rua Fagundes Varela;Pb. Adilson Gomes da Silva;190;BR;;;RJ;\0
128;2017-01-04 19:36:26.751428+00;2021-09-28 19:32:14.940496+00;false;Jardim Belo Horizonte;2226;false;Jardim Belo Horizonte - Austin;;Nova Iguaçu;85;93;;\0;;;;Pb Ted Wilson Muger Magalhães;;BR;;;RJ;\0
126;2017-01-04 19:36:26.713367+00;2021-09-28 19:32:05.531154+00;false;California;2226;false;Califórnia;26220520;Nova Iguaçu;83;93;;\0;21;1imwnovaiguacu@gmail.com;Rua Dinah;Pastor Nilton Junior;82;BR;;27 688614;RJ;\0
206;2017-01-04 19:36:28.467697+00;2021-10-07 19:02:14.265037+00;false;Dr Mesquita;1983;true;Dr. Mesquita;;Barra do Piraí;190;188;;\0;;;Rua Dr. Mesquita;PRESBITERO HELDYR;425;BR;;;RJ;\0
157;2017-01-04 19:36:27.318097+00;2021-10-19 14:13:12.833702+00;false;Vilar Formoso;1892;true;VILAR FORMOSO;;SÃO JOÃO DE MERITI;126;135;;\0;;;Rua Rouxinol;Aspirante Rogério Campos;35;BR;;;RJ;\0
1046;2017-10-28 02:00:30.85204+00;2021-11-01 02:24:59.399174+00;false;JOSÉ hERMES fORTUNATO;2666;false;;;;\0;\0;;\0;;;;;;\0;;;\0;\0
180;2017-01-04 19:36:27.845612+00;2017-01-05 14:06:35.369079+00;false;Oscar Passos;2352;true;São Francisco;;Rio Branco ;694;730;;09/12/2010;;;Rua Dr. Mario Maia Conj. Oscar Passos 1;Adilson Valério Ferreira;55;BR;;;AC;\0
185;2017-01-04 19:36:27.947628+00;2017-03-30 15:45:34.19475+00;false;COLORADO;1941;false;COLORADO;;VOLTA REDONDA;720;139;;25/02/2011;24;;RUA: EGITO;;98;BR;;999224427;RJ;\0
265;2017-01-04 19:36:30.232521+00;2018-01-17 17:09:09.372414+00;false;Andorinha;2035;false;;;São João de Manteninha;511;357;;\0;;;;;;BR;;;MG;\0
114;2017-01-04 19:36:26.47163+00;2022-03-28 10:48:34.707994+00;false;Jerusalém;2106;true;Jerusalém;45995000;Teixeira de Freitas;71;382;;12/06/1996;73;sededistritalimwtx@outlook.com;Rua Ferregueti;Pb. Elilson;45;BR;;32 917912;BA;\0
172;2017-01-04 19:36:27.684782+00;2017-02-12 13:48:20.805701+00;false;Geraldo Cardoso;2309;true;Xerém;25250450;Duque de Caxias;150;13;;03/04/2001;21;imwgeraldocardoso@gmail.com;Rua Geraldo Cardoso;Miss. Ana Lucia;25;BR;;84592477;RJ;\0
145;2017-01-04 19:36:27.082113+00;2023-10-10 17:44:54.891354+00;false;PARQUE INTERLAGOS;2179;false;Parque Interlagos;;São José dos Campos;1032;506;;05/04/2014;;;;Mascionílio Pereira Costa Neto;;BR;;;SP;\0
122;2017-01-04 19:36:26.636581+00;2023-02-09 12:57:54.710941+00;false;Águia de Ouro;1902;true;Inhaúma;20760110;Rio de Janeiro;79;11;;27/04/1981;;;RUA BONGA;Presbítero. Adilson Silveira;148;BR;;;RJ;\0
154;2017-01-04 19:36:27.258985+00;2023-02-10 18:18:01.224516+00;false;Parada Angelica;2265;true;PARADA ANGELICA;;DUQUE DE CAXIAS;278;243;;\0;;;;Ps. SIDNEY AUGUSTO MADALENA;;BR;;;RJ;\0
158;2017-01-04 19:36:27.337604+00;2023-06-20 11:35:53.738763+00;false;Fanchem;1918;true;FANCHEM;26383536;QUEIMADOS;1123;113;;25/07/1993;;;RUA I;Elias de Almeida;902;BR;;;RJ;\0
178;2017-01-04 19:36:27.805288+00;2023-08-14 16:09:01.835825+00;false;Grã-Duqueza;2031;true;GRÃ DUQUESA;35000000;GOVERNADOR VALADARES;459;300;;01/02/2017;;pr.sidenilson@hotmail.com;Av. Itália;Pr Jeuel Alves Coelho;358;BR;;98 855890;MG;\0
190;2017-01-04 19:36:28.049794+00;2017-01-05 14:06:35.493018+00;false;Parque Esperança;2644;true;Anchieta;;;1080;1120;;20/06/2009;21;weltonrocha.rj@hotmail.com;Rua: Oliveira Bueno;Presbitero Adailton Batista de souza;826-A;BR;;32580047;RJ;\0
193;2017-01-04 19:36:28.113117+00;2017-01-05 14:06:35.53002+00;false;IMBARIÊ;2241;true;IMBARIÊ;25000000;DUQUE DE CAXIAS;243;62;L. 14    Q;\0;;;RUA JATAÍ ;João Paulo Quiorato;;BR;;;RJ;\0
155;2017-01-04 19:36:27.278814+00;2017-08-21 22:15:09.987252+00;false;Campinho;2267;false;;;;123;59;;\0;;;;;;BR;;;\0;\0
189;2017-01-04 19:36:28.029333+00;2017-10-22 12:40:38.133973+00;false;Maria Joaquina;2272;false;Maria Joaquina;28950000;Cabo Frio;246;38;Maria joaq;11/08/1991;;;Rua da amizade;Pastor Roberto Ribeiro;26;BR;;;RJ;\0
199;2017-01-04 19:36:28.237627+00;2017-01-05 14:06:35.603079+00;false;São Matheus;2130;true;São Mateus;8310390;São Paulo;180;542;Jd. Rodolf;\0;;;Rua Veloso Espinha ;Pb. Mauro Carvalho;99 A;BR;;;SP;\0
195;2017-01-04 19:36:28.154574+00;2019-01-21 18:38:21.292289+00;false;PIRAUÍRA;2331;false;PIRAUÍRA;55700000;LIMOEIRO;1098;228;;01/12/2014;81;;AV.15 DE NOVEMBRO;Márcia Oliveira Neves;287;BR;;;PE;02/12/2018
160;2017-01-04 19:36:27.37705+00;2018-08-28 01:26:00.135056+00;false;Areia Branca;2221;true;Areia Branca;;Belford Roxo;129;80;;27/08/2018;;;Rua Justino de Souza;Pr. carlosJosé.;51;BR;;;RJ;\0
159;2017-01-04 19:36:27.357122+00;2018-08-28 01:28:28.437042+00;false;Parque Alian;2221;true;Parque Alian;;São João de Meriti;128;80;Lote 12 Qu;27/08/2018;;;Rua Dolomita;pastor presidente: Carlito Belo.;;BR;;;RJ;\0
164;2017-01-04 19:36:27.455799+00;2018-11-05 16:33:00.547035+00;false;Tres Rios;2209;false;Vila Isabel;;Tres Rios;242;42;;\0;;;;Pastor Walter;;BR;;;RJ;\0
197;2017-01-04 19:36:28.196171+00;2019-02-05 13:53:35.059088+00;false;Jardim dos Ipês;2130;true;Jardim dos Ipês;8150000;São Paulo;178;542;;\0;;;Av. Teodoro Bernanrdino Nascimento;Co. Anderson Silas Roberto;1775;BR;;;SP;\0
200;2017-01-04 19:36:28.258884+00;2019-02-05 13:54:08.707982+00;false;Vila Progresso;2130;true;Itaquera;8225290;São Paulo;181;542;Vila Progr;\0;;;Rua Laurendino Xavier dos Santos;Pr. João Joaquim;565;BR;;;SP;\0
201;2017-01-04 19:36:28.279874+00;2017-01-19 14:02:12.876123+00;false;PALMEIRAS;1941;false;PALMEIRAS;27297000;PINHEIRAL;229;139;;13/03/2005;24;;RUA: PALMEIRAS;;501;BR;;33374965;RJ;\0
191;2017-01-04 19:36:28.070376+00;2017-04-16 14:26:42.27179+00;false;Vila Pauline;2274;true;Vila Pauline;;Belford Roxo;241;48;;01/09/1983;21;;;Presbitero Marcos;;BR;;3772 7856;RJ;\0
177;2017-01-04 19:36:27.784734+00;2019-02-25 19:39:55.020081+00;false;Campos da Paz;1948;true;FIGUEIRA;25231170;Duque de Caxias;157;148;;\0;;;Rua Campos da Paz;ALEXSANDRO CORREA DOS SANTOS;70;BR;;;RJ;\0
186;2017-01-04 19:36:27.968123+00;2017-01-19 14:00:53.828707+00;false;MADRE DE DEUS;1941;false;;;MADRE DE DEUS DE MINAS;721;139;;22/04/2011;;;RUA DO CAMPO;;120;BR;;;MG;\0
162;2017-01-04 19:36:27.416931+00;2019-09-26 23:09:45.05833+00;false;TANGARÁ;2230;true;TANGARÁ;;CABO FRIO;131;41;;\0;;;RUA CASTRO ALVES;PASTOR ADARILDO;61;BR;;;RJ;\0
175;2017-01-04 19:36:27.743677+00;2020-10-16 15:16:00.526209+00;false;Ilha da Conceição;1926;true;Ilha da Conceição;;Niterói;155;121;;\0;;;;Pr. Rodrigo da Silva Lopes;;BR;;;RJ;\0
143;2017-01-04 19:36:27.043326+00;2020-08-05 16:23:39.662037+00;false;Congregação Renascer;2421;true;RENASCER;76800000;PORTO VELHO;1114;735;;01/01/2015;;;RUA UNIÃO;MISSIONÁRIA ÁUREA DULCE FEITOSA BESERRA;100;BR;;;RO;\0
173;2017-01-04 19:36:27.704323+00;2020-11-04 23:06:05.189375+00;false;Beira Rio;1911;false;Campo Alegre;26292150;Nova Iguaçu;153;102;Lt04 Qd153;\0;;wesleyanacampoalegre@gmail.com;Rua Para;Presbítero Jessé Bittencourt Nunes;s/n;BR;;;RJ;\0
192;2017-01-04 19:36:28.092189+00;2021-02-15 20:37:11.477652+00;false;VALE DA BENÇÃO;1908;true;VALE DA BENÇÃO;25901738;MAGÉ;172;22;CONGREGAÇÃO;\0;;;RUA 11 ESQUINA COM A RUA 59;ASP JORGE ROBERTO MARINS BARBOSA;S/N;BR;;;RJ;\0
237;2017-01-04 19:36:29.586206+00;2017-02-15 12:18:50.406232+00;false;Penedo;2293;false;Penedo;;Itatiaia;1186;35;;01/08/2015;;;;Pr. Emilson;;BR;;;RJ;\0
240;2017-01-04 19:36:29.70558+00;2017-02-03 03:21:36.762521+00;false;Mandela 01;1939;false;Mandela;;Rio de Janeiro;1117;137;Quadra 20;\0;;;Rua Dezenove;Pastor Francisco JoséFernandes Alves;;BR;;;RJ;\0
218;2017-01-04 19:36:28.900086+00;2017-02-14 23:51:40.216241+00;false;Capela;1925;true;Capela;25920000;Magé;205;120;;\0;21;;R. Santa Rosa;Pb. Antônio da Rocha Vasconcelos;;BR;;36320571;RJ;\0
