id;cadastrado_em;modificado_em;nome;tipo_instituicao_id;instituicao_pai_id;excluido;codigo_host;ativo;bairro;caw;cep;cidade;cnpj;complemento;data_abertura;ddd;email;endereco;inss;nome_fantasia;numero;pais;site;telefone;uf;pastor;tesoureiro
50;2016-10-25 16:18:55.013681+00;2019-03-29 17:47:53.774551+00;AGEMIW - Agência Missionária Wesleyana;8;12;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2749;2017-04-04 14:33:56.653946+00;2017-04-04 14:33:56.654064+00;AGEMIW - Projeto Moçambique;8;12;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2755;2017-11-07 13:22:36.64268+00;2019-08-29 20:05:51.857377+00;Acampamento Efraim 6RE;9;23;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2721;2017-01-25 20:17:56.108855+00;2017-01-25 20:17:56.1089+00;Acampamento Monte Hermom - 3RE;9;18;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2807;2019-08-29 20:06:17.217844+00;2019-08-29 20:06:17.217889+00;Acampamento Salém;9;25;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2754;2017-06-07 21:30:55.030423+00;2017-06-07 21:31:26.750942+00;Assistência Universal Bom Pastor;8;18;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2753;2017-06-07 21:30:17.2153+00;2017-06-07 21:30:17.215425+00;CEFORTE Guarulhos;8;18;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2768;2018-07-27 18:01:52.070756+00;2018-07-27 18:01:52.07079+00;CONGREGACOES QUE NAO ERAM DAS IGREJAS ANTES DE 2017;1;962;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
7;2016-09-14 22:32:11.103992+00;2016-09-15 00:20:37.428344+00;CPIMW - Centro de Publicações;8;12;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
2699;2016-12-13 01:13:53.292882+00;2016-12-13 01:16:38.152869+00;Campo Missionário - 1RE;2;13;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1805;2016-11-11 19:02:41.845718+00;2016-12-29 16:15:55.946423+00;Campo Missionário - 4RE;2;19;false;68;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1889;2016-11-11 19:02:45.200371+00;2022-03-05 18:41:47.746249+00;Campo Missionário Amapá;2;25;false;197;true;;false;;Amapá;;;\0;;;;false;;;Brasil;;;AP;\0;\0
1784;2016-11-11 19:02:40.979058+00;2023-01-21 01:51:07.498776+00;Campo Missionário Distrito Federal;2;17;false;38;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2698;2016-12-13 01:13:28.829621+00;2016-12-13 01:16:16.127251+00;Campo Missionário Estrangeiro - 1RE;2;13;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2876;2023-01-21 01:50:39.532991+00;2023-01-21 01:50:39.533035+00;Campo Missionário Goiás;2;17;false;\0;true;;false;;;;;08/01/2023;;;;false;;;;;;;\0;\0
2877;2023-01-21 01:51:40.642019+00;2023-01-21 01:51:40.642055+00;Campo Missionário Minas Gerais;2;17;false;\0;true;;false;;;;;08/01/2023;;;;false;;;;;;;\0;\0
1810;2016-11-11 19:02:42.056469+00;2017-01-27 20:28:04.506334+00;Campo Missionário Pará;2;25;false;137;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1866;2016-11-11 19:02:44.271016+00;2016-12-29 16:15:31.2206+00;Campo Missionário Tabatinga;2;19;false;169;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1802;2016-11-11 19:02:41.724129+00;2018-03-06 00:05:45.201947+00;Campo Missionário da Argentina;2;50;false;61;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1825;2016-11-11 19:02:42.67333+00;2018-03-06 00:06:17.122628+00;Campo Missionário da Bolívia;2;50;false;97;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1792;2016-11-11 19:02:41.301577+00;2017-01-27 21:15:13.270942+00;Campo Missionário de Tocantins;2;17;false;47;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1800;2016-11-11 19:02:41.636911+00;2016-11-21 22:36:10.143142+00;Campo Missionário do Centro-Oeste;2;18;false;59;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1824;2016-11-11 19:02:42.635192+00;2018-03-06 00:04:26.292632+00;Campo Missionário do Paraguai;2;50;false;96;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1817;2016-11-11 19:02:42.350479+00;2017-01-27 21:09:03.553778+00;Campo Missionário do Uruguai;2;22;false;94;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2769;2018-08-16 17:31:06.543049+00;2018-08-16 17:31:06.543085+00;Centro de Convenções John Wesley;8;12;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
51;2016-10-28 00:39:01.266768+00;2016-11-03 17:26:44.015102+00;Contabilidade da 1a. Região;11;13;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
52;2016-10-28 00:39:22.25648+00;2016-11-03 17:26:24.434175+00;Contabilidade da 2a. Região;11;17;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
53;2016-10-28 00:40:15.253373+00;2016-11-03 17:26:05.271826+00;Contabilidade da 3a. Região;11;18;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
54;2016-10-28 00:40:33.286085+00;2017-10-09 23:37:31.76639+00;Contabilidade da 4a. Região;11;19;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;Waldemar Pires Marinho;Samuel Silva de Souza
55;2016-10-28 00:41:02.331257+00;2016-11-03 17:25:28.961971+00;Contabilidade da 5a. Região;11;22;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
56;2016-10-28 00:41:23.326907+00;2016-11-03 17:25:11.198081+00;Contabilidade da 6a. Região;11;23;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
57;2016-10-28 00:41:40.487349+00;2016-11-03 17:24:49.96955+00;Contabilidade da 7a. Região;11;24;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
58;2016-10-28 00:41:56.437797+00;2016-11-03 17:24:27.439229+00;Contabilidade da 8a. Região;11;25;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
2701;2016-12-29 16:04:28.178541+00;2016-12-29 16:05:50.339358+00;Distrito 1o. De Manaus;2;19;true;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1867;2016-11-11 19:02:44.310159+00;2019-08-16 19:54:16.220455+00;Distrito Aeroporto Velho;2;2806;false;170;false;;false;;;;;\0;;;;false;;;;;;;\0;\0
1862;2016-11-11 19:02:44.11031+00;2022-01-31 20:04:25.163543+00;Distrito Alto Tiete;2;18;false;164;false;;false;;;;;\0;;;;false;;;;;;;\0;\0
2864;2023-01-04 14:13:09.28427+00;2023-01-04 14:13:09.2843+00;Distrito Alto da Serra;2;13;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1776;2016-11-11 19:02:40.606894+00;2016-11-11 19:25:20.721739+00;Distrito Aracajú;2;24;false;30;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
2797;2019-03-04 20:28:03.153035+00;2019-03-04 20:28:03.153072+00;Distrito Areal;2;19;false;\0;true;;false;;;;;09/12/2018;;;;false;;;;;;;\0;\0
1759;2016-11-11 19:02:39.747827+00;2018-09-26 15:44:54.428546+00;Distrito Aterrado;2;23;false;15;true;;false;;;;;\0;;;;false;Aterrado;;Brasil;;;;\0;\0
1877;2016-11-11 19:02:44.717423+00;2021-01-15 20:38:17.771799+00;Distrito Bagé;2;22;false;182;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1829;2016-11-11 19:02:42.838691+00;2016-11-11 19:25:20.795014+00;Distrito Bangu;2;23;false;101;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1765;2016-11-11 19:02:40.000272+00;2016-11-11 19:25:20.828624+00;Distrito Barra Mansa;2;23;false;19;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1818;2016-11-11 19:02:42.389114+00;2016-11-11 19:25:20.811638+00;Distrito Barra do Piraí;2;23;false;86;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1857;2016-11-11 19:02:43.923733+00;2016-11-11 19:25:20.845797+00;Distrito Belford Roxo;2;13;false;159;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1781;2016-11-11 19:02:40.852381+00;2016-11-11 19:25:20.862604+00;Distrito Belo Horizonte;2;17;false;35;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1826;2016-11-11 19:02:42.711558+00;2016-11-11 19:25:20.879482+00;Distrito Betim;2;17;false;98;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1861;2016-11-11 19:02:44.070353+00;2016-11-11 19:25:20.929642+00;Distrito Búzios;2;13;false;163;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1758;2016-11-11 19:02:39.695644+00;2016-11-11 19:25:20.946342+00;Distrito Cabo Frio;2;13;false;16;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1808;2016-11-11 19:02:41.968393+00;2016-11-11 19:25:20.979122+00;Distrito Calama;2;19;false;73;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1879;2016-11-11 19:02:44.799997+00;2022-10-20 16:24:02.897531+00;Distrito Califórnia;2;23;false;186;true;;false;;;;;31/12/2014;;;;false;;;;;;;\0;\0
1856;2016-11-11 19:02:43.886066+00;2016-11-11 19:25:21.014024+00;Distrito Campina Grande;2;24;false;153;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1769;2016-11-11 19:02:40.172978+00;2016-11-11 19:25:21.030324+00;Distrito Campo Grande;2;23;false;23;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1815;2016-11-11 19:02:42.266244+00;2016-11-11 19:25:21.227403+00;Distrito Campo Missionário Estrangeiro - Espanha;2;26;false;83;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1816;2016-11-11 19:02:42.305202+00;2016-11-11 19:25:21.243725+00;Distrito Campo Missionário Estrangeiro - Europa Central;2;26;false;84;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1875;2016-11-11 19:02:44.64066+00;2017-01-27 21:24:03.66932+00;Distrito Campo Missionário de Goiás;2;17;true;180;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1814;2016-11-11 19:02:42.223986+00;2016-11-11 19:25:21.144474+00;Distrito Campo Missionário de Lisboa;2;26;false;82;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1882;2016-11-11 19:02:44.921157+00;2016-11-11 19:25:21.277051+00;Distrito Cariacica;2;25;false;189;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1780;2016-11-11 19:02:40.803161+00;2016-11-11 19:25:21.294052+00;Distrito Caruaru;2;24;false;34;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1849;2016-11-11 19:02:43.61236+00;2016-11-11 19:25:21.310432+00;Distrito Cataguases;2;17;false;141;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1799;2016-11-11 19:02:41.59148+00;2021-11-17 18:16:56.718654+00;Distrito Catarinense;2;22;false;123;false;;false;;;;;\0;;;;false;;;;;;;\0;\0
1809;2016-11-11 19:02:42.013227+00;2016-11-11 19:25:21.360751+00;Distrito Central de Porto Velho;2;19;false;74;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
20;2016-09-16 15:44:04.310278+00;2018-01-11 14:49:50.530287+00;Distrito Central de Porto Velho TESTE;2;962;true;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1844;2016-11-11 19:02:43.429532+00;2016-11-11 19:25:21.377427+00;Distrito Central de Rio Branco;2;19;false;134;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
2884;2023-01-30 20:22:11.457991+00;2023-01-30 20:22:11.458024+00;Distrito Centro Sul Paulistano;2;18;false;\0;true;;false;;;;;03/12/2022;;;;false;;;;;;;\0;\0
1842;2016-11-11 19:02:43.345635+00;2020-09-21 22:38:55.187372+00;Distrito Cidade Nova;2;2806;false;132;false;;false;;;;;\0;;;;false;;;;;;;;
1787;2016-11-11 19:02:41.102696+00;2023-01-21 02:39:54.686053+00;Distrito Contagem;2;17;false;90;false;;false;;;;;\0;;;;false;;;;;;;\0;\0
1840;2016-11-11 19:02:43.263077+00;2022-10-20 16:22:53.628089+00;Distrito Costa Verde;2;23;false;126;true;;false;;;;;31/12/2011;;;;false;;;;;;;\0;\0
1797;2016-11-11 19:02:41.503338+00;2016-11-11 19:25:21.44376+00;Distrito Cotia;2;18;false;55;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
2693;2016-12-13 00:41:15.453768+00;2020-12-16 17:47:25.468062+00;Distrito Duarte da Silveira;2;13;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1761;2016-11-11 19:02:39.831589+00;2016-11-11 19:25:21.462088+00;Distrito Duque de Caxias;2;13;false;13;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1880;2016-11-11 19:02:44.839908+00;2023-02-09 17:49:17.643153+00;Distrito Edu Chaves;2;18;false;187;false;;false;;;;;\0;;;;false;;;;;;;\0;\0
1881;2016-11-11 19:02:44.880601+00;2017-01-27 21:24:21.742985+00;Distrito Entorno de Brasília;2;17;true;188;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1798;2016-11-11 19:02:41.548844+00;2016-11-11 19:25:21.502905+00;Distrito Ermelino Matarazzo;2;18;false;57;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
2709;2016-12-29 18:01:54.044637+00;2019-08-16 19:53:06.694737+00;Distrito Esperança;2;2806;false;\0;false;;false;;;;;\0;;;;false;;;;;;;\0;\0
1883;2016-11-11 19:02:44.960516+00;2022-03-03 17:53:52.52453+00;Distrito Eugenópolis;2;17;false;190;false;;false;;;;;\0;;;;false;;;;;;;\0;\0
1860;2016-11-11 19:02:44.031827+00;2023-01-30 20:12:35.602302+00;Distrito Fortaleza;2;24;false;162;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1786;2016-11-11 19:02:41.057957+00;2023-01-29 11:01:34.770006+00;Distrito Governador Valadares;2;17;false;40;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2725;2017-01-27 21:31:34.505885+00;2023-01-29 11:01:56.548025+00;Distrito Governador Valadares Sul;2;17;false;\0;false;;false;;;;;\0;;;;false;;;;;;;\0;\0
1768;2016-11-11 19:02:40.129126+00;2022-10-20 16:24:55.197857+00;Distrito Grajaú;2;23;false;22;true;;false;;;;;31/12/2014;;;;false;;;;;;;\0;\0
1836;2016-11-11 19:02:43.111414+00;2016-11-11 19:25:21.556073+00;Distrito Guajará-Mirim;2;19;false;108;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1869;2016-11-11 19:02:44.39058+00;2017-01-29 00:00:49.740946+00;Distrito Guaporé;2;19;true;192;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1848;2016-11-11 19:02:43.582106+00;2016-11-11 19:25:21.591372+00;Distrito Guarapari;2;25;false;140;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1801;2016-11-11 19:02:41.680015+00;2016-11-11 19:25:21.609433+00;Distrito Guarulhos;2;18;false;60;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1833;2016-11-11 19:02:42.991563+00;2016-11-11 19:25:21.628056+00;Distrito Ibaiti;2;22;false;121;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1828;2016-11-11 19:02:42.796904+00;2017-01-27 21:44:17.566086+00;Distrito Ipatinga;2;17;true;100;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
2691;2016-12-13 00:26:45.523605+00;2019-02-07 18:27:54.631487+00;Distrito Itaboraí;2;13;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1874;2016-11-11 19:02:44.59457+00;2016-11-11 19:25:21.663319+00;Distrito Itabuna;2;25;false;178;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1777;2016-11-11 19:02:40.65526+00;2019-02-06 19:37:35.177373+00;Distrito Itaipava;2;13;false;31;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1838;2016-11-11 19:02:43.187893+00;2016-11-11 19:25:21.697893+00;Distrito Itamarati;2;13;false;129;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1774;2016-11-11 19:02:40.485305+00;2016-11-11 19:25:21.715349+00;Distrito Itaperuna;2;13;false;28;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1796;2016-11-11 19:02:41.458856+00;2016-11-11 19:25:21.732522+00;Distrito Itaquera;2;18;false;52;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
2722;2017-01-27 19:59:50.003538+00;2017-01-27 20:03:05.027334+00;Distrito Itaóca;2;25;true;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1846;2016-11-11 19:02:43.505692+00;2017-01-27 20:03:27.780789+00;Distrito Itaóca;2;25;false;138;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2790;2019-02-15 02:36:18.481074+00;2019-02-15 02:36:18.481112+00;Distrito JK;2;19;false;\0;true;;false;;;;;08/12/2018;;;;false;;;;;;;\0;\0
1767;2016-11-11 19:02:40.084617+00;2016-11-11 19:25:21.749454+00;Distrito Jacarepaguá;2;23;false;21;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
2723;2017-01-27 20:09:27.805107+00;2021-01-03 20:38:05.996723+00;Distrito Jardim Colorado;2;962;false;\0;true;SANTO DUMONT;false;29109202;VILA VELHA;2,38191E+13;;31/12/2016;27;pr.vadivio@hotmail.com;Rua Mario Almeida;false;colorado;8;Brasil;;;ES;\0;\0
1843;2016-11-11 19:02:43.387658+00;2016-11-11 19:25:21.784362+00;Distrito Ji-Paraná;2;19;false;133;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1778;2016-11-11 19:02:40.705772+00;2016-11-11 19:25:21.801096+00;Distrito João Pessoa;2;24;false;32;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1788;2016-11-11 19:02:41.144865+00;2016-11-11 19:25:21.834261+00;Distrito Juiz de Fora;2;17;false;42;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1847;2016-11-11 19:02:43.543648+00;2022-03-03 17:48:36.343132+00;Distrito Lavras;2;17;false;139;false;;false;;;;;\0;;;;false;;;;;;;\0;\0
1885;2016-11-11 19:02:45.040913+00;2021-03-02 18:07:54.815414+00;Distrito Liberdade;2;19;false;193;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1864;2016-11-11 19:02:44.193887+00;2016-11-11 19:25:21.868613+00;Distrito Litoral Norte;2;18;false;167;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1803;2016-11-11 19:02:41.758523+00;2016-11-11 19:25:21.885064+00;Distrito Litoral Sul;2;18;false;63;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
2802;2019-05-24 17:48:55.525556+00;2019-05-24 17:48:55.525594+00;Distrito Lote XV;2;13;false;\0;true;;false;;;;;24/05/2019;;;;false;;;;;;;\0;\0
1779;2016-11-11 19:02:40.749121+00;2016-11-11 19:25:21.902462+00;Distrito Macaé;2;13;false;33;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1888;2016-11-11 19:02:45.159784+00;2021-01-29 22:30:56.630291+00;Distrito Maceió;2;24;false;196;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1858;2016-11-11 19:02:43.961329+00;2016-11-11 19:25:21.919111+00;Distrito Magé;2;13;false;160;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1837;2016-11-11 19:02:43.15038+00;2017-01-28 23:23:24.594458+00;Distrito Manaus;2;19;false;131;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1851;2016-11-11 19:02:43.690942+00;2016-11-11 19:25:21.935712+00;Distrito Mantena;2;17;false;144;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1770;2016-11-11 19:02:40.218482+00;2016-11-11 19:25:21.952232+00;Distrito Mantiquira;2;13;false;24;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
9;2016-09-14 22:38:35.265202+00;2016-12-13 00:58:57.571895+00;Distrito Mantiquira TESTE;2;962;true;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1773;2016-11-11 19:02:40.409402+00;2016-11-11 19:25:21.968766+00;Distrito Maranhão;2;23;false;27;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1831;2016-11-11 19:02:42.918473+00;2016-11-11 19:25:21.98542+00;Distrito Maringá;2;22;false;122;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
1865;2016-11-11 19:02:44.232243+00;2020-10-23 19:34:42.480942+00;Distrito Maués;2;2806;false;168;true;;false;;;;;\0;;;;false;;;;;;;;
1771;2016-11-11 19:02:40.293864+00;2022-10-20 16:25:20.757999+00;Distrito Mesquita;2;23;false;151;true;;false;;;;;31/12/2011;;;;false;;;;;;;;
2726;2017-01-28 23:52:31.08408+00;2019-08-16 19:56:05.758426+00;Distrito Missionário Central - 4RE;2;2806;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1863;2016-11-11 19:02:44.154857+00;2023-02-09 17:50:00.587577+00;Distrito Missionário de Campinas;2;18;false;166;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
2711;2016-12-30 20:08:07.875752+00;2016-12-30 23:32:05.869692+00;Distrito Missionário de Rio Mafra;2;22;true;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1887;2016-11-11 19:02:45.120467+00;2018-08-21 00:00:52.997808+00;Distrito Missionário de Rio Negro;2;2762;false;195;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
1839;2016-11-11 19:02:43.225536+00;2023-02-08 19:54:11.086256+00;Distrito Missionário de Santa Maria;2;22;false;116;false;;false;;;;;\0;;;;false;;;;;;;\0;\0
2851;2021-07-04 00:24:10.779886+00;2021-07-04 00:24:10.779928+00;Distrito Missionário do Acre;2;19;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
